ra,dec,parallax,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
101.51323389571529,-20.721845595774607,1.4061142086709058,47.111378,-4.452984511266016,-1.3112684443880251,1.2886716,8.906782,8.878717,8.925504,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0032445786999685477
101.52748275851931,-20.72659785013504,1.3522227731139351,96.315674,-4.621183503441464,-1.4089083507767375,0.9208458,12.969056,13.207201,12.586679,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.01580362398432804
101.52759919321238,-20.707665815620025,1.3488282476266924,55.384182,-3.134597232270959,-0.7348095516296687,1.1131909,9.541347,9.533404,9.526099,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.01757733370175314
101.49075178237757,-20.720155663687137,1.4114457117752541,62.99433,-3.957287732952366,-1.2958373904354308,1.1981969,14.568215,15.029853,13.941387,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.020772319049854
101.51029689428272,-20.74008229813467,1.3637956603510422,58.987286,-4.562790559846487,-1.105834540013178,1.1615713,10.261493,10.266409,10.227733,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.021603713718560985
101.5378046735712,-20.72293782323805,1.4129887127253498,49.607815,-3.7899507360618414,-2.033703724116381,1.3591149,10.054661,10.036918,10.065878,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.023691811840438292
101.50281832738021,-20.741685475644772,1.357741659986287,73.398964,-4.272956066703009,-1.51052749390919,1.012165,14.4656105,14.829661,13.931498,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.02492165347722718
101.49893735346963,-20.743019249117484,1.370459542475695,74.23648,-4.271527625428095,-1.4892415407078958,1.0189847,14.497212,14.865079,13.962225,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.027677143076336938
101.54180438421713,-20.712670672171924,1.3138517574225377,59.067383,-4.282568774706446,-1.027587069708319,1.0283785,14.928653,15.342124,14.351592,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.027682229041076475
101.50227836901834,-20.74478560618014,1.342104516828406,56.09407,-4.383225394788889,-1.1608457296255263,1.0564196,15.071738,15.651145,14.340388,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.027991270402858173
101.48424189881999,-20.708951858357146,1.207435932878459,10.102876,-4.020751826875192,-1.614300291465379,1.0365171,18.122456,19.32332,17.077396,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.02849400184602719
101.54275217867668,-20.706708376416568,1.5066666395883432,19.871271,-2.438701843620603,8.143654807546342,0.9806441,17.318623,18.33307,16.338257,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.030356296927840316
101.53336665891042,-20.743606205925143,1.3168551213950477,31.144476,-2.778317843432451,-2.4410680432614003,1.0087243,16.352541,16.98487,15.575615,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03147891330684719
101.52444281450126,-20.748428400316914,1.3684663498456333,14.233962,-4.097139397642841,-1.3761116161399802,0.95783573,17.868073,18.883158,16.841337,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.031706801775606266
101.546657482567,-20.72431307062916,1.3723030773937552,108.89509,-4.266172162238228,-1.433554865972877,1.0839936,13.311556,13.5741205,12.895854,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03208417128133
101.5162789404193,-20.750904119638744,1.3548836671989153,64.65274,-4.300894472819891,-1.4225408977045941,1.1263353,10.832113,10.841025,10.78427,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.032442311237833095
101.47697111890396,-20.718963848609103,1.3509128889516666,58.15074,-4.308844608519851,-1.3862166316562665,1.1330345,9.40698,9.39563,9.394929,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03360651156154998
101.52564635889705,-20.750506402119314,1.4398811630115553,26.447653,-4.319241438951125,-1.1673333792747191,1.0464549,16.80498,17.555593,15.945593,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03404567307830905
101.4801062008522,-20.735265628193975,1.5638174876914885,10.031353,10.625168935995775,-4.582455666908314,1.0368674,18.566896,19.846733,17.466476,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.034898414212586715
101.542388233515,-20.696710199912843,1.2966828956658083,1.2996107,-2.8593894435840697,6.877954125899174,1.0228249,20.629803,21.270098,19.605919,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03522406525318327
101.49270486259528,-20.688492118034652,1.34321963487717,53.220215,-4.739799049876709,-1.2628951489250286,1.0699239,15.107415,15.541144,14.507217,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.035557049435213386
101.4753433611802,-20.711985659076955,1.2983251666300952,0.89965886,-0.8104525482114433,2.0525741090092673,1.0565332,20.79381,21.308939,19.988155,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.035748290550203426
101.54302943883296,-20.740664334178785,1.2607296838824402,21.83902,-4.101958121021325,-1.1725494176013962,0.9882096,16.948702,17.750767,16.066074,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03577995782142222
101.50881395238302,-20.682052606369258,1.4153583219157628,2.494549,-1.7227642306568884,1.5521709009361655,1.0285045,20.23231,20.960587,19.323175,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03676271324562961
101.48392827477825,-20.744025883080152,1.335115617813236,88.97661,-4.2969300424393815,-1.4103939323153554,1.0166876,13.764144,14.060543,13.308195,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03714576111845349
101.48616216310018,-20.6898945393555,1.36262595583157,83.377205,-4.149094975567128,-1.0660866563792684,1.0494053,14.099378,14.460711,13.56862,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03808482382726005
101.54806824535058,-20.696860843313083,1.3656467584815606,1.8625048,4.902205413599889,-5.682975863682296,1.1272416,20.508318,21.013498,19.334589,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0394397493795017
101.55286870246161,-20.701070627987868,1.5642918648963036,2.3268173,-5.341174272690975,-1.86197342655909,1.0771836,20.28334,21.40091,19.072008,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.041298974748341294
101.47843712208325,-20.747041736755083,1.414597528310543,3.2196095,7.304089267126254,-4.876106534898039,1.1136688,19.90749,20.928806,18.769058,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.042974663941419425
101.55965114048985,-20.725259409931475,1.3576042475370715,94.54371,-4.315306813911302,-1.2476701559447454,1.1274265,13.419628,13.695064,12.98885,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.044229083090193154
101.56011294795482,-20.726904502384894,1.2816500958968673,15.036919,-4.173440956970194,-1.731667737596269,0.9887705,17.55882,18.46385,16.585325,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.04493011906763798
101.4749175040318,-20.687534940142974,1.3707543988172497,54.50506,-4.4703957504179055,-1.3612990171102333,1.0579623,14.885646,15.300554,14.292893,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.047205559880416616
101.52236089258787,-20.76552129800383,1.3229508798494372,81.35474,-4.420871927659312,-1.2172315311057127,1.0791916,14.016426,14.335043,13.534839,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.047732438387444384
101.46906386300023,-20.693284287233077,1.3462398119973866,57.60758,-4.5320495200887,-1.0817383708103587,1.1463033,10.259423,10.262467,10.231953,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.048197883585546566
101.56338729618068,-20.730048331266826,1.2429258538393788,3.0588472,0.6331403637669907,1.0646357150236059,1.0104686,20.011385,20.90008,18.958706,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.04858519455993901
101.48370495612559,-20.67641242818265,1.2786326771068501,32.6812,-0.40281778222603426,3.705568618442007,1.0224209,16.177176,16.700245,15.501509,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05026927528249258
101.5396724067108,-20.67379012896554,1.3309879760022638,3.3792298,-1.3532241260415647,-17.162815138579955,1.0413134,19.937763,20.856443,18.791645,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05134820077056167
101.56105294673692,-20.69066719968925,1.3802675088233927,1.0337515,0.4150616769128313,-4.151384802878431,1.0859386,20.782072,21.657686,19.563244,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05301007128566993
101.56749783541665,-20.733530190550702,1.4407822580251033,11.282807,-4.644820974040599,-1.754444508973474,1.0222768,18.3446,19.774502,17.196325,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05319834700007793
101.56523025796588,-20.742949102779782,1.2733832540324599,12.585644,-4.430982466353779,-1.3317266026148398,1.0433513,17.961506,19.12848,16.874508,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05465781838178269
101.50413392272628,-20.6633500991619,1.3423268135130206,13.861196,-4.457884973164354,-1.7002385734047398,1.0621264,17.786388,19.057484,16.681717,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05587106941759839
101.5706824070655,-20.733231160976914,1.3504910860895691,73.06932,-4.246315411472758,-1.3618619096518834,1.1313211,14.343017,14.674165,13.817963,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0559848456694951
101.55723349551592,-20.758607988734845,1.2276788546194646,2.1925073,-3.8471860794380235,-1.1087112647142652,1.0554297,20.273384,21.281279,19.233797,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.057605598377999966
101.45390713820116,-20.702033364894508,1.3730730443055226,100.74912,-4.270169740010361,-1.3098727473888654,1.0343186,12.651921,12.8614855,12.304794,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05761806140567104
101.51185668075821,-20.660560389735497,1.3725199612533772,13.513637,-3.939151020889674,-1.2480368209248505,0.9726848,17.913712,19.001348,16.905819,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05806394228887405
101.49922203291081,-20.77666459305076,1.3926004426969374,102.25693,-4.310436471971672,-1.4391718389917691,1.0312722,12.461327,12.651704,12.13994,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05944086738999996
101.56559901611877,-20.68332625449954,1.3778298359604917,93.93052,-4.647084362334987,-1.409018747463995,0.9806366,12.896435,13.128835,12.520265,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06062667581827501
101.52248847330918,-20.657564977558916,1.5008658041570884,3.7801583,-4.843153707407012,-1.4804287820578645,1.040642,19.929428,21.325447,18.758581,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.061706715440712344
101.44857408901319,-20.733284612206262,1.302322236790353,20.94147,-4.476746116892127,-0.9261642214649515,1.0271314,17.103355,17.972996,16.205832,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06192478746365853
101.53373964028198,-20.65839889854904,1.319043268625814,8.216467,-4.358235863244136,-1.5114774553589936,0.97593063,18.63444,19.90353,17.559513,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06329474211323072
101.56484547155739,-20.759218365401534,1.353399617334217,46.292866,-4.4994266154269456,-1.6558797221583792,1.2242777,9.260327,9.209819,9.229329,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06331330225690274
101.49579120934146,-20.780104767872842,1.2112694516785456,1.2568437,0.10482907822629778,0.12099140071910017,1.0106634,20.614353,20.83951,19.526598,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06353585064484968
101.56531883380427,-20.759771290216104,1.3301090481972107,55.87908,-4.280681037459727,-1.2504064716887562,1.1169404,9.203967,9.092459,9.077991,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06400764830916449
101.4486065195873,-20.695243577821888,1.2644710998722277,49.57678,8.32771828631199,4.501456561657552,1.0308317,15.111239,15.604924,14.457884,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06452170942754533
101.48923943228286,-20.656823402136176,1.4911100499306145,4.4062777,-4.487523273993746,-1.3718067451723195,1.0432695,19.648964,20.895695,18.422266,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06563742528725176
101.58282794416515,-20.729654920201487,1.2021779740485585,10.496763,-3.860560953424279,3.647536572870809,0.9765409,18.027372,19.017117,17.0189,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0663288521388649
101.5167415206857,-20.78543884879599,1.3404209054615057,60.551388,-3.592063802219027,-1.40932265222505,1.2482083,10.883536,10.914794,10.789761,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06691923062165803
101.51815546810401,-20.786092424023447,1.3247016204326432,51.281868,-4.51151330139988,-1.2836080714551321,1.201753,9.628095,9.608315,9.635971,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0676550601155099
101.5558250412433,-20.774011851001717,1.52273696580355,5.9609094,-4.42577292631411,-1.1587090050006543,1.0755419,19.140762,20.43271,17.993765,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06841116118846384
101.48720818659335,-20.782876442187508,1.2403090270866017,2.0473447,-2.294144497072015,1.2888752305803235,1.007264,20.396341,21.030434,19.685936,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.068604439704365
101.44227345519592,-20.740536908920717,1.3778621453231672,87.24935,9.289200138231372,-29.783376414492658,1.0360359,14.035318,14.359867,13.540606,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06959606426407816
101.43495835794675,-20.7177073243998,1.2353537564749952,3.3183134,4.5837725416436035,-1.4230703353228287,1.0393077,19.792898,21.127937,18.579329,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07290639322549188
101.54200893891911,-20.78628828541816,1.2150854688991104,1.2328702,2.230015533399308,-4.421714066681139,1.012037,20.610422,21.077888,20.031815,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0729417471145813
101.55368844353804,-20.781058378058344,1.5574637419653756,8.645535,-1.211962499009327,1.1146473021036245,1.0684234,18.541197,18.971766,16.016584,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07317066806842472
101.55412417663268,-20.780953393663534,1.3570472717397914,19.328384,-1.0640545091124893,1.03407775249402,1.0550785,17.110586,18.037554,15.997945,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07329459962107801
101.45949398006924,-20.77299103626216,1.432926948826598,18.35259,-1.0742589181166566,-3.0529428721762737,0.9649072,17.504171,18.664648,16.445868,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07383019938721601
101.55314924950032,-20.65496077693579,1.26028146579604,21.252005,-4.428156985289893,-1.3127424919151265,1.0011151,16.828463,17.604372,15.978281,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07395868463369756
101.50739583469604,-20.792902878766863,1.4345304750231824,20.95509,-4.248529441535609,-1.461938847179494,0.9855926,17.2851,18.177803,16.360678,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07446479003512474
101.59300799394234,-20.713376171301352,1.3955646814326208,66.091034,-4.673267534546539,-1.3916296403320703,0.9890125,14.795209,15.200056,14.2218685,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07511221121898091
101.54922369432153,-20.650735988771448,1.3992829863233671,54.04722,-4.237764395224094,-1.614046366813029,1.062407,15.052815,15.582818,14.343612,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07591142669519176
101.51626133250107,-20.642163716258846,1.3575936948047673,73.12374,-4.095814601606712,-1.4122342320252697,0.9803428,14.377701,14.7344,13.853023,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.076517094883661
101.56684903992371,-20.77688150964,1.4536457512543812,2.1669347,-0.16489432426505918,1.5541557847120584,1.0047761,20.397446,20.851788,19.821619,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0770723954795038
101.4315834359282,-20.70432864894184,1.2107006205995159,2.0228872,-4.526919531143641,-0.8186517210619388,1.0680001,20.403454,21.23518,19.228056,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07739102885260302
101.5924972675304,-20.696626244546206,1.4878014629701333,87.49365,0.5229595279960829,-3.5223815156575142,1.2814428,9.547307,10.133998,8.813969,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07763501191481391
101.44515679150788,-20.67006978672887,1.5977877113350978,5.2287254,-4.388526546804006,-1.2554192481117719,1.0248644,19.45459,21.091188,18.223816,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07982937130892172
101.59489274287617,-20.740921812760003,1.3821587921847254,3.767725,-4.609356664623036,-0.8521231573301814,0.9909393,19.865976,21.025423,18.63022,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.07986333472416647
101.56794614232078,-20.78002756438307,1.3562890818487847,37.821003,-4.184114798717927,-1.5624076685015773,1.1017439,15.783046,16.335806,15.079501,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08013227882867127
101.48456792960172,-20.64283972567373,1.256374835213296,1.7937171,-3.434476545386267,0.10642117786459741,1.0360287,20.45285,21.32884,19.260044,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08027842077332387
101.53331874228992,-20.640572113039376,1.395158521007791,9.579692,-4.236745951878687,-1.3774215626192845,1.0674037,18.360884,19.31487,17.238846,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08034813325301657
