designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2927009461931719040,2927009461931719040,101.51323389571529,-20.721845595774607,1.4061142086709058,0.029846596,-4.452984511266016,-1.3112684443880251,1.2886716,8.906782,-0.04678631,20.554789,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.003243775802463737
Gaia DR3 2927009393212237440,2927009393212237440,101.52748275851931,-20.72659785013504,1.3522227731139351,0.0140394885,-4.621183503441464,-1.4089083507767375,0.9208458,12.969056,0.62052155,22.64651,VARIABLE,0,true,true,false,true,false,true,true,6501.1143,4.2827,-0.4484,679.93,0.1022,0.0892,0.0481,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.015805751670612506
Gaia DR3 2927008980887462400,2927008980887462400,101.51029689428272,-20.74008229813467,1.3637956603510422,0.023120163,-4.562790559846487,-1.105834540013178,1.1615713,10.261493,0.038676262,17.475235,NOT_AVAILABLE,0,true,true,true,false,false,true,true,10553.928,3.9699,-0.9973,792.1793,0.2029,0.1959,0.1044,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.02160226009841997
Gaia DR3 2927008980895402368,2927008980895402368,101.50281832738021,-20.741685475644772,1.357741659986287,0.018498104,-4.272956066703009,-1.51052749390919,1.012165,14.4656105,0.8981638,24.365664,VARIABLE,0,true,true,false,true,false,true,true,5443.778,4.4335,-0.3275,754.4335,0.0416,0.0344,0.0184,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.024919447840828137
Gaia DR3 2927008980895405056,2927008980895405056,101.49893735346963,-20.743019249117484,1.370459542475695,0.018460728,-4.271527625428095,-1.4892415407078958,1.0189847,14.497212,0.90285397,21.565203,VARIABLE,0,true,true,false,true,false,true,true,5446.28,4.4768,-0.4819,701.5577,0.035,0.0288,0.0154,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.027674695081451307
Gaia DR3 2927008602938272512,2927008602938272512,101.52444281450126,-20.748428400316914,1.3684663498456333,0.09614093,-4.097139397642841,-1.3761116161399802,0.95783573,17.868073,2.0418205,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3561.48,4.5252,-0.7612,559.111,0.3765,0.2594,0.1457,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.03170681866014404
Gaia DR3 2927008740377199104,2927008740377199104,101.546657482567,-20.72431307062916,1.3723030773937552,0.012602067,-4.266172162238228,-1.433554865972877,1.0839936,13.311556,0.6782665,20.18812,NOT_AVAILABLE,0,true,true,false,false,false,true,true,6223.1143,4.321,-0.2855,695.6171,0.0658,0.0566,0.0306,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.03208703921120904
Gaia DR3 2927008224981157760,2927008224981157760,101.5162789404193,-20.750904119638744,1.3548836671989153,0.020956323,-4.300894472819891,-1.4225408977045941,1.1263353,10.832113,0.056755066,21.936028,NOT_AVAILABLE,0,true,true,false,false,false,false,true,9200.803,3.9405,-1.0314,843.316,0.0613,0.0585,0.0311,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.03244151008476177
Gaia DR3 2927009255773305856,2927009255773305856,101.47697111890396,-20.718963848609103,1.3509128889516666,0.023231223,-4.308844608519851,-1.3862166316562665,1.1330345,9.40698,7.009506E-4,24.887083,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.03360338549525653
Gaia DR3 2927009736809618048,2927009736809618048,101.48616216310018,-20.6898945393555,1.36262595583157,0.016342906,-4.149094975567128,-1.0660866563792684,1.0494053,14.099378,0.8920908,18.658787,VARIABLE,0,true,true,false,true,false,true,true,5363.6533,4.3305,-0.7634,712.064,0.0056,0.0046,0.0025,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.03808361540044466
